chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score,sympy_format,lambda_format,Dataset,Directory
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.1648251765697654,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.1648251765697654,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.1648251765697654,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction(myfunction(var2) * (var6 * 3.1416786)),3.1416786*var6,293.42326948177435,7.0,3.3847773,1.0340413345674197e-07,var2*var6*3.1416786,PySRFunction(X=>var2*var6*3.1416786),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.4944753229010292,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction(myfunction(var2) * (var6 * 3.1416786)),3.1416786*var6,293.42326948177435,7.0,3.3847773,1.0340413345674197e-07,var2*var6*3.1416786,PySRFunction(X=>var2*var6*3.1416786),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.4944753229010292,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction(myfunction(var2) * (var6 * 3.1416786)),3.1416786*var6,293.42326948177435,7.0,3.3847773,1.0340413345674197e-07,var2*var6*3.1416786,PySRFunction(X=>var2*var6*3.1416786),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.4944753229010292,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction(myfunction(var2) * (var6 * 3.1416786)),3.1416786*var6,293.42326948177435,7.0,3.3847773,1.0340413345674197e-07,var2*var6*3.1416786,PySRFunction(X=>var2*var6*3.1416786),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.4944753229010292,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction(myfunction(var2) * (var6 * 3.1416786)),3.1416786*var6,293.42326948177435,7.0,3.3847773,1.0340413345674197e-07,var2*var6*3.1416786,PySRFunction(X=>var2*var6*3.1416786),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.4944753229010292,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction(myfunction(var2) * (var6 * 3.1416786)),3.1416786*var6,293.42326948177435,7.0,3.3847773,1.0340413345674197e-07,var2*var6*3.1416786,PySRFunction(X=>var2*var6*3.1416786),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.4944753229010292,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction(myfunction(var2) * (var6 * 3.1416786)),3.1416786*var6,293.42326948177435,7.0,3.3847773,1.0340413345674197e-07,var2*var6*3.1416786,PySRFunction(X=>var2*var6*3.1416786),No_noise_all_var,med
var2,myfunction((var13 + (var2 * var6)) * 2.8875954),2.8875954*var6,269.692667865049,8.0,2.0643446,0.4944753229010292,(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954),No_noise_all_var,med
var2,((var2 * (2.9804595 * var6)) + var13) + var13,2.9804595*var6,278.36589364934224,9.0,1.4728916,0.3375852475855589,var13 + var13 + var2*2.9804595*var6,PySRFunction(X=>var13 + var13 + var2*2.9804595*var6),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,12.910345821946676,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.0143296570023437,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction(var13 + (3.0680373 * (var6 * var2))),3.0680373*var6,286.5453950184578,8.0,2.0984516,0.1593628604416652,var13 + 3.0680373*var2*var6,PySRFunction(X=>var13 + 3.0680373*var2*var6),No_noise_all_var,med
var2,(var13 + (3.0680373 * (var6 * var2))) - 0.2708007,3.0680373*var6,286.5453950184578,9.0,2.0808985,0.0083999678377346,var13 + 3.0680373*var2*var6 - 1*0.2708007,PySRFunction(X=>var13 + 3.0680373*var2*var6 - 1*0.2708007),No_noise_all_var,med
var2,myfunction((var13 / var10) + ((var6 * var2) / 0.33333328)),3.00000048000008*var6,280.1909620190035,10.0,8.552284e-06,12.402111947781144,var2*var6/0.33333328 + var13/var10,PySRFunction(X=>var2*var6/0.33333328 + var13/var10),No_noise_all_var,med
var2,myfunction((var6 * (myfunction(3.0000002) * var2)) + myfunction(var13 / var10)),3.0000002*var6,280.1909358678437,12.0,5.6064373e-06,0.2111414631845226,var6*3.0000002*var2 + var13/var10,PySRFunction(X=>var6*3.0000002*var2 + var13/var10),No_noise_all_var,med
